sample,subject,level,laterality,sex,nerve_diameter_um,n_fascicles,fascicle_id,centroid_y_um,centroid_z_um,diameter_um,area_um2
P5-1,sub-5,cervical,left,female,1979.78,33,1,-445.35,342.36,286.43,64437.85
P5-1,sub-5,cervical,left,female,1979.78,33,2,-722.73,237.87,281.88,62405.66
P5-1,sub-5,cervical,left,female,1979.78,33,3,63.66,-6.64,237.49,44298.98
P5-1,sub-5,cervical,left,female,1979.78,33,4,180.7,-335.61,236.96,44099.21
P5-1,sub-5,cervical,left,female,1979.78,33,5,-1473.3,349.31,235.65,43614.69
P5-1,sub-5,cervical,left,female,1979.78,33,6,-313.93,-64.49,221.08,38387.12
P5-1,sub-5,cervical,left,female,1979.78,33,7,-1074.98,216.73,218.08,37351.98
P5-1,sub-5,cervical,left,female,1979.78,33,8,939.44,-415.92,206.93,33632.35
P5-1,sub-5,cervical,left,female,1979.78,33,9,1290.0,-498.3,204.17,32739.33
P5-1,sub-5,cervical,left,female,1979.78,33,10,842.73,42.3,202.92,32339.19
P5-1,sub-5,cervical,left,female,1979.78,33,11,426.27,-26.96,200.89,31696.22
P5-1,sub-5,cervical,left,female,1979.78,33,12,-1362.79,150.38,173.49,23639.47
P5-1,sub-5,cervical,left,female,1979.78,33,13,-527.74,-98.02,170.78,22906.09
P5-1,sub-5,cervical,left,female,1979.78,33,14,-907.29,8.29,170.75,22899.69
P5-1,sub-5,cervical,left,female,1979.78,33,15,319.09,247.86,163.97,21115.81
P5-1,sub-5,cervical,left,female,1979.78,33,16,-1160.23,40.32,161.07,20377.21
P5-1,sub-5,cervical,left,female,1979.78,33,17,718.38,-61.48,157.23,19416.79
P5-1,sub-5,cervical,left,female,1979.78,33,18,1478.29,-363.58,155.37,18959.37
P5-1,sub-5,cervical,left,female,1979.78,33,19,851.01,-195.94,150.69,17834.28
P5-1,sub-5,cervical,left,female,1979.78,33,20,1313.22,-184.69,150.0,17670.62
P5-1,sub-5,cervical,left,female,1979.78,33,21,1142.14,-345.06,139.66,15319.94
P5-1,sub-5,cervical,left,female,1979.78,33,22,102.03,276.27,137.57,14864.84
P5-1,sub-5,cervical,left,female,1979.78,33,23,1157.81,-88.09,128.58,12985.02
P5-1,sub-5,cervical,left,female,1979.78,33,24,404.17,121.6,126.1,12488.16
P5-1,sub-5,cervical,left,female,1979.78,33,25,-704.29,39.4,123.83,12042.41
P5-1,sub-5,cervical,left,female,1979.78,33,26,1155.46,-194.1,107.8,9126.53
P5-1,sub-5,cervical,left,female,1979.78,33,27,1472.69,-155.0,103.58,8425.87
P5-1,sub-5,cervical,left,female,1979.78,33,28,1347.3,-328.98,103.32,8384.48
P5-1,sub-5,cervical,left,female,1979.78,33,29,1360.53,-83.57,90.1,6375.74
P5-1,sub-5,cervical,left,female,1979.78,33,30,1632.74,-376.16,83.53,5480.38
P5-1,sub-5,cervical,left,female,1979.78,33,31,1527.89,-253.09,81.33,5195.02
P5-1,sub-5,cervical,left,female,1979.78,33,32,741.91,-269.37,58.99,2733.26
P5-1,sub-5,cervical,left,female,1979.78,33,33,275.9,164.3,50.31,1988.16
P6-7,sub-6,cervical,left,female,2624.31,43,1,106.76,479.19,401.5,126606.8
P6-7,sub-6,cervical,left,female,2624.31,43,2,-144.4,-738.12,264.28,54854.69
P6-7,sub-6,cervical,left,female,2624.31,43,3,-1150.01,-148.03,255.18,51140.68
P6-7,sub-6,cervical,left,female,2624.31,43,4,587.85,49.12,248.44,48477.04
P6-7,sub-6,cervical,left,female,2624.31,43,5,-1382.33,52.68,245.69,47411.34
P6-7,sub-6,cervical,left,female,2624.31,43,6,-1052.16,85.45,245.65,47393.61
P6-7,sub-6,cervical,left,female,2624.31,43,7,-1331.49,-510.52,244.77,47055.41
P6-7,sub-6,cervical,left,female,2624.31,43,8,-1591.28,233.08,243.68,46636.39
P6-7,sub-6,cervical,left,female,2624.31,43,9,112.87,-61.3,230.72,41807.57
P6-7,sub-6,cervical,left,female,2624.31,43,10,234.16,-187.62,229.52,41374.72
P6-7,sub-6,cervical,left,female,2624.31,43,11,-584.56,20.03,225.96,40100.0
P6-7,sub-6,cervical,left,female,2624.31,43,12,1766.69,461.25,213.47,35790.89
P6-7,sub-6,cervical,left,female,2624.31,43,13,100.09,-714.4,205.02,33012.08
P6-7,sub-6,cervical,left,female,2624.31,43,14,506.53,-307.91,194.76,29791.13
P6-7,sub-6,cervical,left,female,2624.31,43,15,-863.54,-611.22,193.5,29407.01
P6-7,sub-6,cervical,left,female,2624.31,43,16,-1675.72,-509.56,184.32,26682.94
P6-7,sub-6,cervical,left,female,2624.31,43,17,1585.9,169.16,183.4,26416.5
P6-7,sub-6,cervical,left,female,2624.31,43,18,199.96,-474.62,182.73,26223.3
P6-7,sub-6,cervical,left,female,2624.31,43,19,-796.19,-710.28,170.83,22919.47
P6-7,sub-6,cervical,left,female,2624.31,43,20,-1740.35,-181.8,163.84,21084.08
P6-7,sub-6,cervical,left,female,2624.31,43,21,-79.14,-234.8,162.93,20849.27
P6-7,sub-6,cervical,left,female,2624.31,43,22,-765.46,-236.18,160.6,20257.1
P6-7,sub-6,cervical,left,female,2624.31,43,23,1193.77,275.57,158.89,19828.19
P6-7,sub-6,cervical,left,female,2624.31,43,24,1753.11,168.72,157.33,19440.43
P6-7,sub-6,cervical,left,female,2624.31,43,25,1644.52,571.82,157.31,19436.43
P6-7,sub-6,cervical,left,female,2624.31,43,26,-1109.28,-682.98,155.03,18875.81
P6-7,sub-6,cervical,left,female,2624.31,43,27,-397.89,-643.25,144.51,16402.69
P6-7,sub-6,cervical,left,female,2624.31,43,28,-398.6,-89.87,138.11,14980.29
P6-7,sub-6,cervical,left,female,2624.31,43,29,-758.26,-134.42,137.69,14890.36
P6-7,sub-6,cervical,left,female,2624.31,43,30,880.96,329.69,134.41,14189.53
P6-7,sub-6,cervical,left,female,2624.31,43,31,1546.86,434.19,133.42,13981.71
P6-7,sub-6,cervical,left,female,2624.31,43,32,444.42,-440.44,130.93,13464.84
P6-7,sub-6,cervical,left,female,2624.31,43,33,288.08,-60.56,128.89,13046.72
P6-7,sub-6,cervical,left,female,2624.31,43,34,-1656.02,-96.38,124.8,12232.6
P6-7,sub-6,cervical,left,female,2624.31,43,35,-805.76,87.57,121.76,11643.74
P6-7,sub-6,cervical,left,female,2624.31,43,36,-483.32,-240.04,114.0,10207.17
P6-7,sub-6,cervical,left,female,2624.31,43,37,1428.1,426.18,113.72,10157.8
P6-7,sub-6,cervical,left,female,2624.31,43,38,1413.32,583.2,112.81,9995.4
P6-7,sub-6,cervical,left,female,2624.31,43,39,-998.84,-244.97,111.72,9802.34
P6-7,sub-6,cervical,left,female,2624.31,43,40,985.44,562.43,97.29,7433.95
P6-7,sub-6,cervical,left,female,2624.31,43,41,1009.42,275.39,93.45,6858.72
