staining,sample_id,level,laterality,sex,nerve_diameter_um,n_fascicles,fascicle_index,fascicle_diameter_um
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,1,157.08
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,2,288.9
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,3,314.02
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,4,148.13
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,5,196.37
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,6,169.79
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,7,157.39
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,8,134.99
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,9,122.59
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,10,191.26
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,11,107.21
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,12,184.12
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,13,120.11
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,14,219.97
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,15,75.66
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,16,155.69
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,17,90.84
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,18,150.78
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,19,160.02
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,20,158.33
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,21,91.85
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,22,157.08
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,23,136.26
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,24,182.3
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,25,165.56
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,26,76.77
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,27,126.76
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,28,282.02
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,29,101.48
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,30,110.44
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,31,97.44
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,32,380.05
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,33,146.15
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,34,131.26
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,35,168.45
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,36,140.3
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,37,94.5
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,38,86.12
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,39,129.36
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,40,187.3
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,41,191.04
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,42,138.82
IF_antifibronectin,P11-1,cervical,left,M,2045.4,43,43,134.06
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,1,195.59
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,2,229.67
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,3,131.35
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,4,71.72
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,5,148.34
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,6,131.4
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,7,190.81
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,8,182.07
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,9,177.85
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,10,174.75
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,11,110.79
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,12,185.47
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,13,117.27
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,14,243.68
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,15,208.77
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,16,124.98
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,17,249.85
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,18,144.59
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,19,210.47
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,20,242.36
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,21,251.91
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,22,72.31
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,23,232.02
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,24,150.25
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,25,185.36
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,26,185.36
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,27,191.1
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,28,168.85
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,29,98.21
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,30,169.06
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,31,260.45
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,32,202.15
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,33,166.2
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,34,141.63
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,35,212.12
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,36,235.41
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,37,241.38
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,38,93.39
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,39,143.95
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,40,77.05
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,41,282.17
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,42,164.77
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,43,131.28
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,44,232.28
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,45,148.69
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,46,233.03
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,47,124.19
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,48,147.16
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,49,122.14
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,50,108.78
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,51,47.31
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,52,38.27
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,53,127.51
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,54,107.82
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,55,130.25
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,56,232.02
IF_antifibronectin,P12-1,cervical,left,M,2193.9,57,57,182.02
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,1,137.41
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,2,173.74
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,3,325.13
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,4,108.43
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,5,164.53
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,6,61.89
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,7,150.06
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,8,144.52
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,9,77.39
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,10,99.01
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,11,130.53
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,12,134.39
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,13,132.83
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,14,84.18
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,15,111.1
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,16,215.66
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,17,106.95
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,18,147.14
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,19,127.83
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,20,136.06
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,21,114.21
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,22,107.55
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,23,107.33
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,24,56.85
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,25,97.62
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,26,192.51
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,27,119.42
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,28,111.02
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,29,115.6
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,30,106.17
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,31,151.11
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,32,123.39
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,33,176.27
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,34,137.29
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,35,172.07
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,36,125.31
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,37,251.72
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,38,178.2
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,39,225.16
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,40,158.94
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,41,151.02
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,42,99.76
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,43,103.62
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,44,115.85
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,45,136.34
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,46,174.21
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,47,122.18
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,48,85.4
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,49,122.67
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,50,121.25
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,51,85.74
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,52,115.21
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,53,149.46
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,54,150.18
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,55,123.51
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,56,303.13
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,57,133.49
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,58,188.6
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,59,102.18
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,60,76.06
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,61,68.58
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,62,89.71
IF_antifibronectin,P13-1,cervical,left,M,2025.5,63,63,66.44
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,1,233.29
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,2,171.53
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,3,159.17
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,4,215.69
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,5,278.84
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,6,168.81
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,7,122.14
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,8,283.44
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,9,168.82
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,10,218.79
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,11,235.11
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,12,135.86
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,13,234.57
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,14,162.1
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,15,49.2
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,16,198.76
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,17,124.44
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,18,155.4
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,19,57.82
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,20,200.77
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,21,148.89
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,22,204.76
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,23,137.94
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,24,126.82
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,25,106.25
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,26,202.02
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,27,148.21
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,28,101.82
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,29,88.66
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,30,153.54
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,31,102.11
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,32,79.96
IF_antifibronectin,P5-1,cervical,left,F,1965.8,33,33,82.16
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,1,162.34
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,2,182.67
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,3,123.47
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,4,241.91
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,5,242.64
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,6,243.91
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,7,253.28
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,8,243.81
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,9,153.52
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,10,110.39
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,11,191.73
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,12,169.21
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,13,158.96
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,14,136.15
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,15,120.45
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,16,224.16
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,17,112.63
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,18,142.92
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,19,136.68
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,20,262.45
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,21,161.22
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,22,399.08
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,23,228.69
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,24,203.36
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,25,227.5
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,26,181.16
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,27,127.18
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,28,129.45
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,29,193.12
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,30,246.53
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,31,133.0
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,32,96.08
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,33,92.2
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,34,45.66
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,35,73.25
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,36,157.39
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,37,111.53
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,38,112.44
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,39,132.1
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,40,181.78
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,41,155.85
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,42,155.7
IF_antifibronectin,P6-7,cervical,left,F,2613.7,43,43,211.85
IF_antifibronectin,P8-7,cervical,left,F,2214.1,46,1,91.21
IF_antifibronectin,P8-7,cervical,left,F,2214.1,46,2,88.08
IF_antifibronectin,P8-7,cervical,left,F,2214.1,46,3,61.11
IF_antifibronectin,P8-7,cervical,left,F,2214.1,46,4,100.85
IF_antifibronectin,P8-7,cervical,left,F,2214.1,46,5,81.36
IF_antifibronectin,P8-7,cervical,left,F,2214.1,46,6,72.9
IF_antifibronectin,P8-7,cervical,left,F,2214.1,46,7,72.23
