staining,sample_id,level,laterality,sex,nerve_diameter_um,n_fascicles,fascicle_index,fascicle_diameter_um
Massons_trichrome,C50-2,cervical,left,M,2546.9,15,1,437.21
Massons_trichrome,C50-2,cervical,left,M,2546.9,15,2,258.83
Massons_trichrome,C50-2,cervical,left,M,2546.9,15,3,307.92
Massons_trichrome,C50-2,cervical,left,M,2546.9,15,4,359.17
Massons_trichrome,C50-2,cervical,left,M,2546.9,15,5,189.02
Massons_trichrome,C50-2,cervical,left,M,2546.9,15,6,787.09
Massons_trichrome,C50-2,cervical,left,M,2546.9,15,7,72.36
Massons_trichrome,C50-2,cervical,left,M,2546.9,15,8,305.73
Massons_trichrome,C50-2,cervical,left,M,2546.9,15,9,508.75
Massons_trichrome,C50-2,cervical,left,M,2546.9,15,10,311.11
Massons_trichrome,C50-2,cervical,left,M,2546.9,15,11,398.01
Massons_trichrome,C50-2,cervical,left,M,2546.9,15,12,289.08
Massons_trichrome,C50-2,cervical,left,M,2546.9,15,13,99.2
Massons_trichrome,C50-2,cervical,left,M,2546.9,15,14,90.0
Massons_trichrome,C50-2,cervical,left,M,2546.9,15,15,163.78
Massons_trichrome,C53-2,cervical,left,M,2019.1,5,1,120.12
Massons_trichrome,C53-2,cervical,left,M,2019.1,5,2,243.87
Massons_trichrome,C53-2,cervical,left,M,2019.1,5,3,322.23
Massons_trichrome,C53-2,cervical,left,M,2019.1,5,4,643.46
Massons_trichrome,C53-2,cervical,left,M,2019.1,5,5,607.04
Massons_trichrome,C54-3,cervical,left,M,1615.1,8,1,365.4
Massons_trichrome,C54-3,cervical,left,M,1615.1,8,2,284.54
Massons_trichrome,C54-3,cervical,left,M,1615.1,8,3,53.54
Massons_trichrome,C54-3,cervical,left,M,1615.1,8,4,75.64
Massons_trichrome,C54-3,cervical,left,M,1615.1,8,5,730.2
Massons_trichrome,C54-3,cervical,left,M,1615.1,8,6,225.98
Massons_trichrome,C54-3,cervical,left,M,1615.1,8,7,243.2
Massons_trichrome,C54-3,cervical,left,M,1615.1,8,8,95.63
Massons_trichrome,C55-3,cervical,left,M,1025.5,1,1,657.18
Massons_trichrome,C57-3,cervical,left,M,1838.4,7,1,455.24
Massons_trichrome,C57-3,cervical,left,M,1838.4,7,2,509.95
Massons_trichrome,C57-3,cervical,left,M,1838.4,7,3,287.74
Massons_trichrome,C57-3,cervical,left,M,1838.4,7,4,249.07
Massons_trichrome,C57-3,cervical,left,M,1838.4,7,5,549.73
Massons_trichrome,C57-3,cervical,left,M,1838.4,7,6,288.39
Massons_trichrome,C57-3,cervical,left,M,1838.4,7,7,290.46
Massons_trichrome,C46-2,cervical,left,F,1964.0,2,1,968.88
Massons_trichrome,C46-2,cervical,left,F,1964.0,2,2,204.87
Massons_trichrome,C47-2,cervical,left,F,1864.2,5,1,219.68
Massons_trichrome,C47-2,cervical,left,F,1864.2,5,2,94.39
Massons_trichrome,C47-2,cervical,left,F,1864.2,5,3,550.44
Massons_trichrome,C47-2,cervical,left,F,1864.2,5,4,980.89
Massons_trichrome,C47-2,cervical,left,F,1864.2,5,5,232.09
Massons_trichrome,C56-3,cervical,left,F,1882.4,5,1,1060.54
Massons_trichrome,C56-3,cervical,left,F,1882.4,5,2,326.6
Massons_trichrome,C56-3,cervical,left,F,1882.4,5,3,310.04
Massons_trichrome,C56-3,cervical,left,F,1882.4,5,4,421.02
Massons_trichrome,C56-3,cervical,left,F,1882.4,5,5,210.61
Massons_trichrome,C58-3,cervical,left,F,2539.9,12,1,337.63
Massons_trichrome,C58-3,cervical,left,F,2539.9,12,2,141.63
Massons_trichrome,C58-3,cervical,left,F,2539.9,12,3,532.81
Massons_trichrome,C58-3,cervical,left,F,2539.9,12,4,258.23
Massons_trichrome,C58-3,cervical,left,F,2539.9,12,5,289.29
Massons_trichrome,C58-3,cervical,left,F,2539.9,12,6,560.5
Massons_trichrome,C58-3,cervical,left,F,2539.9,12,7,102.68
Massons_trichrome,C58-3,cervical,left,F,2539.9,12,8,310.06
Massons_trichrome,C58-3,cervical,left,F,2539.9,12,9,395.44
Massons_trichrome,C58-3,cervical,left,F,2539.9,12,10,348.88
Massons_trichrome,C58-3,cervical,left,F,2539.9,12,11,352.11
Massons_trichrome,C58-3,cervical,left,F,2539.9,12,12,202.64
Massons_trichrome,C54-2,subdiaphragmatic,anterior,M,1522.5,7,1,143.42
Massons_trichrome,C54-2,subdiaphragmatic,anterior,M,1522.5,7,2,102.83
Massons_trichrome,C54-2,subdiaphragmatic,anterior,M,1522.5,7,3,157.59
Massons_trichrome,C54-2,subdiaphragmatic,anterior,M,1522.5,7,4,169.9
Massons_trichrome,C54-2,subdiaphragmatic,anterior,M,1522.5,7,5,83.42
Massons_trichrome,C54-2,subdiaphragmatic,anterior,M,1522.5,7,6,161.11
Massons_trichrome,C54-2,subdiaphragmatic,anterior,M,1522.5,7,7,96.23
Massons_trichrome,C57-1,subdiaphragmatic,anterior,M,1426.2,3,1,168.54
Massons_trichrome,C57-1,subdiaphragmatic,anterior,M,1426.2,3,2,180.75
Massons_trichrome,C57-1,subdiaphragmatic,anterior,M,1426.2,3,3,305.86
Massons_trichrome,C64-1,subdiaphragmatic,anterior,M,2065.4,1,1,587.11
Massons_trichrome,C69-1,subdiaphragmatic,anterior,M,2236.6,8,1,9.64
Massons_trichrome,C69-1,subdiaphragmatic,anterior,M,2236.6,8,2,30.47
Massons_trichrome,C69-1,subdiaphragmatic,anterior,M,2236.6,8,3,55.23
Massons_trichrome,C69-1,subdiaphragmatic,anterior,M,2236.6,8,4,438.48
Massons_trichrome,C69-1,subdiaphragmatic,anterior,M,2236.6,8,5,26.85
Massons_trichrome,C69-1,subdiaphragmatic,anterior,M,2236.6,8,6,109.41
Massons_trichrome,C69-1,subdiaphragmatic,anterior,M,2236.6,8,7,27.56
Massons_trichrome,C69-1,subdiaphragmatic,anterior,M,2236.6,8,8,31.18
Massons_trichrome,C70-1,subdiaphragmatic,anterior,M,1912.7,2,1,261.03
Massons_trichrome,C70-1,subdiaphragmatic,anterior,M,1912.7,2,2,309.81
Massons_trichrome,C56-1,subdiaphragmatic,anterior,F,1536.5,6,1,186.62
Massons_trichrome,C56-1,subdiaphragmatic,anterior,F,1536.5,6,2,195.25
Massons_trichrome,C56-1,subdiaphragmatic,anterior,F,1536.5,6,3,209.57
Massons_trichrome,C56-1,subdiaphragmatic,anterior,F,1536.5,6,4,153.33
Massons_trichrome,C56-1,subdiaphragmatic,anterior,F,1536.5,6,5,13.86
Massons_trichrome,C56-1,subdiaphragmatic,anterior,F,1536.5,6,6,121.7
Massons_trichrome,C58-1,subdiaphragmatic,anterior,F,1417.3,13,1,197.6
Massons_trichrome,C58-1,subdiaphragmatic,anterior,F,1417.3,13,2,6.8
Massons_trichrome,C58-1,subdiaphragmatic,anterior,F,1417.3,13,3,46.92
Massons_trichrome,C58-1,subdiaphragmatic,anterior,F,1417.3,13,4,92.08
Massons_trichrome,C58-1,subdiaphragmatic,anterior,F,1417.3,13,5,117.32
Massons_trichrome,C58-1,subdiaphragmatic,anterior,F,1417.3,13,6,81.2
Massons_trichrome,C58-1,subdiaphragmatic,anterior,F,1417.3,13,7,126.36
Massons_trichrome,C58-1,subdiaphragmatic,anterior,F,1417.3,13,8,114.67
Massons_trichrome,C58-1,subdiaphragmatic,anterior,F,1417.3,13,9,68.51
Massons_trichrome,C58-1,subdiaphragmatic,anterior,F,1417.3,13,10,162.58
Massons_trichrome,C58-1,subdiaphragmatic,anterior,F,1417.3,13,11,63.19
Massons_trichrome,C58-1,subdiaphragmatic,anterior,F,1417.3,13,12,107.36
Massons_trichrome,C58-1,subdiaphragmatic,anterior,F,1417.3,13,13,66.97
Massons_trichrome,C63-1,subdiaphragmatic,anterior,F,1353.3,2,1,583.85
Massons_trichrome,C63-1,subdiaphragmatic,anterior,F,1353.3,2,2,105.64
Massons_trichrome,C65-1,subdiaphragmatic,anterior,F,1622.2,2,1,383.28
Massons_trichrome,C65-1,subdiaphragmatic,anterior,F,1622.2,2,2,531.84
Massons_trichrome,P11-1,cervical,left,M,2045.4,46,1,218.37
Massons_trichrome,P11-1,cervical,left,M,2045.4,46,2,402.55
Massons_trichrome,P11-1,cervical,left,M,2045.4,46,3,438.55
Massons_trichrome,P11-1,cervical,left,M,2045.4,46,4,207.81
Massons_trichrome,P11-1,cervical,left,M,2045.4,46,5,274.92
Massons_trichrome,P11-1,cervical,left,M,2045.4,46,6,239.53
Massons_trichrome,P11-1,cervical,left,M,2045.4,46,7,218.98
Massons_trichrome,P11-1,cervical,left,M,2045.4,46,8,187.69
Massons_trichrome,P11-1,cervical,left,M,2045.4,46,9,171.51
Massons_trichrome,P11-1,cervical,left,M,2045.4,46,10,265.3
Massons_trichrome,P11-1,cervical,left,M,2045.4,46,11,149.26
Massons_trichrome,P11-1,cervical,left,M,2045.4,46,12,260.72
Massons_trichrome,P11-1,cervical,left,M,2045.4,46,13,166.87
Massons_trichrome,P11-1,cervical,left,M,2045.4,46,14,306.74
Massons_trichrome,P11-1,cervical,left,M,2045.4,46,15,106.13
Massons_trichrome,P11-1,cervical,left,M,2045.4,46,16,217.07
Massons_trichrome,P11-1,cervical,left,M,2045.4,46,17,126.12
Massons_trichrome,P11-1,cervical,left,M,2045.4,46,18,209.55
Massons_trichrome,P11-1,cervical,left,M,2045.4,46,19,223.07
Massons_trichrome,P11-1,cervical,left,M,2045.4,46,20,220.17
Massons_trichrome,P11-1,cervical,left,M,2045.4,46,21,128.05
