fascicle_id,centroid_y_um,centroid_z_um,centroid_y_rel_um,centroid_z_rel_um,area_um2,equiv_diameter_um
1,834.89,2469.65,120.89,526.68,49663.8,251.46
2,860.18,1275.92,146.18,-667.05,38031.3,220.05
3,443.52,2379.96,-270.48,436.99,33130.2,205.38
4,840.46,2978.23,126.47,1035.26,24515.9,176.68
5,1046.77,1582.04,332.77,-360.93,24482.6,176.56
6,362.37,2843.76,-351.62,900.79,22885.0,170.7
7,562.74,3067.18,-151.26,1124.21,20818.9,162.81
8,948.31,1816.5,234.31,-126.47,17974.5,151.28
9,1158.03,1425.61,444.03,-517.36,17788.2,150.49
10,634.53,2375.63,-79.47,432.66,16888.6,146.64
11,757.19,3222.95,43.19,1279.98,16460.7,144.77
12,1087.14,563.32,373.14,-1379.65,16093.7,143.15
13,658.99,2815.95,-55.01,872.98,14894.4,137.71
14,738.45,3015.12,24.45,1072.15,13013.0,128.72
15,743.74,1542.61,29.74,-400.36,12827.2,127.8
16,532.58,1363.95,-181.41,-579.02,12496.6,126.14
17,744.66,1406.84,30.67,-536.13,12064.1,123.94
18,953.44,666.3,239.44,-1276.67,11635.1,121.71
19,1003.52,2281.38,289.53,338.41,11615.8,121.61
20,854.55,1507.4,140.55,-435.57,11452.4,120.75
21,427.74,2247.79,-286.26,304.82,11306.6,119.98
22,453.32,2630.15,-260.68,687.18,11244.7,119.65
23,647.42,2031.87,-66.58,88.9,10563.8,115.98
24,522.77,2118.07,-191.22,175.1,10546.6,115.88
25,843.39,2047.58,129.39,104.61,9954.7,112.58
26,932.78,2027.59,218.78,84.62,9722.6,111.26
27,473.36,2941.88,-240.63,998.91,9595.5,110.53
28,685.23,1135.9,-28.77,-807.07,8635.1,104.85
29,960.83,539.82,246.83,-1403.15,7992.2,100.88
30,634.01,1863.28,-79.98,-79.69,6932.9,93.95
31,531.27,2767.26,-182.73,824.29,6831.4,93.26
32,764.61,1947.9,50.61,4.93,6758.0,92.76
33,893.99,1075.18,179.99,-867.79,5424.3,83.1
34,1080.82,1804.64,366.83,-138.33,4508.6,75.77
35,520.08,2462.06,-193.92,519.09,4110.9,72.35
36,801.85,1861.58,87.85,-81.39,3564.8,67.37
37,1138.28,738.11,424.28,-1204.86,2011.5,50.61
38,617.99,1627.17,-96.01,-315.8,1919.8,49.44
39,668.57,1765.64,-45.42,-177.33,1672.0,46.14
40,572.47,1763.46,-141.53,-179.51,1311.8,40.87
